2 9 e 3 d 4 8 b 6 1 a 0 c 7 5 f
c a f 0 1 6 7 5 d b 3 8 4 2 e 9
5 d 7 8 9 f 0 a 2 e 4 c 6 3 1 b
1 6 b 4 2 3 c e f 5 7 9 d 8 0 a

e 4 d 9 b 2 6 1 8 c 5 a f 0 3 7
a b 1 6 7 0 3 8 e f d 4 9 5 2 c
7 8 5 2 4 c f d 9 0 b 3 a 1 6 e
0 f 3 c e a 5 9 1 2 6 7 8 4 b d

b 5 6 1 c e 9 4 a 3 2 d 0 f 7 8
8 0 4 e 3 7 1 2 c 9 f 5 b d a 6
9 3 a d 8 5 b f 0 7 e 6 2 c 4 1
f 2 c 7 6 d a 0 4 8 1 b 5 e 9 3

d 1 0 5 f 8 e 7 b a 9 2 3 6 c 4
4 e 8 a 5 9 d c 3 6 0 1 7 b f 2
3 7 2 f a b 4 6 5 d c e 1 9 8 0
6 c 9 b 0 1 2 3 7 4 8 f e a d 5
