b 5 c 2 0 8 1 a f e 3 7 d 4 6 9
d 0 7 6 2 b 5 f 8 a 4 9 c e 1 3
a 4 9 f 7 d 3 e c 6 1 5 0 b 8 2
8 3 1 e c 6 9 4 b d 2 0 7 a 5 f

0 c b 4 e 9 8 7 a 5 d f 3 6 2 1
9 2 6 5 d c 0 3 7 1 8 b 4 f a e
7 8 d a f 1 4 b 3 2 6 e 5 9 0 c
f 1 e 3 6 5 a 2 0 c 9 4 b d 7 8

4 f 5 1 3 e 2 8 d b 7 6 9 0 c a
c a 3 b 4 f 6 5 e 9 0 1 8 2 d 7
6 9 0 8 a 7 d 1 4 f c 2 e 3 b 5
e d 2 7 b 0 c 9 5 3 a 8 6 1 f 4

2 7 4 d 9 a b c 1 0 5 3 f 8 e 6
3 6 a 0 8 2 f d 9 7 e c 1 5 4 b
1 e f 9 5 4 7 6 2 8 b d a c 3 0
5 b 8 c 1 3 e 0 6 4 f a 2 7 9 d
