0 c 1 9 7 d 6 f 8 e 5 b 3 a 2 4
8 4 6 2 b 5 3 0 d a c f 7 e 1 9
a 3 5 f 8 1 e 4 9 6 7 2 b c d 0
d e b 7 9 a c 2 3 0 4 1 5 8 f 6

3 d a 8 4 9 0 6 f 1 b e c 2 7 5
c 7 2 e f 3 a b 5 8 6 4 1 9 0 d
d 0 f 5 d 8 7 e c 2 a 9 6 4 3 b
4 b 9 6 5 c 2 1 7 d 0 3 e f 8 a

6 a e d 2 0 5 8 1 9 3 7 4 b c f
9 f 4 c 6 7 d 3 0 b e 8 2 5 a 1
5 2 8 0 a b 1 9 6 4 f c d 3 e 7
b 1 7 3 e 4 f c a 5 2 d 9 0 6 8

2 8 0 a 1 e b d 4 3 9 6 f 7 5 c
7 6 c b 0 2 4 a e f d 5 8 1 9 3
e 5 d 1 3 f 9 7 b c 8 a 0 6 4 2
f 9 3 4 c 6 8 5 2 7 1 0 a d b e
